gene_symbol	0
MEF2C	15.436796939498784
CDC27	14.945355069049523
DBF4B	12.086668551758793
FADS2	11.601213576964113
POLR3A	10.278994561651096
CTNNA1	9.069508042261198
B3GAT1	8.914227472569323
TBKBP1	8.73914379174062
CDH4	8.376967764725354
RSL24D1	8.005403763334904
RANBP1	7.929231159098754
CD300LG	7.544718718971543
KPNB1	7.4710452536108996
TBX21	7.380721050139218
NUP50	7.201425556880633
ADGRD1	6.943419107278359
RCC1	6.742165076527093
HEXIM2	6.640588424834143
HEXIM1	6.493479448830175
FZD2	6.3658352597465955
ITGB3	6.312387237171643
FZD10	6.016214740953908
CCPG1	5.886318406034412
EDF1	5.853658390470126
AGR3	5.404977596273753
UPK3BL1	5.351258627902146
MTUS1	5.154340091106682
DIABLO	5.034947406937516
KIF18B	5.02410885433398
CD58	4.986657519947803
REXO2	4.967645454405902
CNGB3	4.773109438359369
CTSO	4.7647293656595435
RRP15	4.702354520006169
DFFA	4.6799174940276815
METAP1	4.58430986568898
CTSF	4.56075585156153
KIF20B	4.548901499465491
PLEKHM1	4.510933547348166
CHAD	4.445056038945289
PRKD2	4.365601144063834
RBM19	4.1724101995617975
TNFRSF11A	4.122050980087191
AKAP13	4.059130656200952
CD69	4.016825966618797
SRP14	4.007964707668718
MORF4L2	3.991889099128875
ACY3	3.961654250107988
NMT1	3.9010218459866013
DKK3	3.8578806378445902
OSTM1	3.843426578412833
FAS	3.7800035776271645
TRAF3IP2	3.689266255859655
RNF31	3.6225261714303056
COL9A1	3.5963460123936755
PSIP1	3.574900072830836
CRHR1	3.5338347977421334
TEF	3.5270776941095567
IDO1	3.5196005934052836
CRADD	3.5083607374516834
PER3	3.4887791712991074
RPGR	3.477795174553852
GABRA4	3.4598448260602312
PCARE	3.4547889532007434
IL15RA	3.399764989895574
ZPR1	3.323556751490213
RANGAP1	3.3071999174682696
PTPRN2	3.212665463602964
GPHA2	3.203182001516571
KANSL1	3.1525102556095423
TNFRSF9	3.1513743559747582
PNPT1	3.1434627587894948
ARHGEF5	3.1241317733337683
LBR	3.08933367958731
CTSC	3.07413496055205
ANXA5	3.073918856123285
PVR	3.0327258448334344
ESM1	2.991955367795878
FGL1	2.990449942918654
MICB	2.9873620460003254
STK24	2.9568161194723688
ADGRB3	2.95303062942181
TNFRSF10B	2.894576080886753
CTSV	2.8893459576041414
CD276	2.848251855883721
CALCOCO1	2.7983506716078392
COL9A2	2.7633186187357346
DKK4	2.761176245414618
PRKAR2A	2.7456138203032348
FMNL1	2.7344713314437783
ITGB7	2.7280487395989086
AKAP12	2.7027413213573808
GZMH	2.6464445379593933
CD93	2.644512355471164
GCC1	2.60968054830766
DDX10	2.609020688164258
ICAM5	2.593463870434788
CASP2	2.5793702528143783
DBNL	2.563681707885536
LYPD3	2.5393987502966286
ARL17A	2.532025312236711
PRKAR1A	2.52843055576923
TNPO1	2.525287936507995
ITGA11	2.4941162976784543
CD160	2.493229025956232
CD83	2.4849588225951313
ARL17B	2.4682421221445052
DDR1	2.3937357018094922
WDR46	2.371522327814472
SPAG1	2.3552424567371797
LMNB2	2.353644990978447
LRRC37A	2.3452728453915532
EEF1D	2.323721721770947
ACOT13	2.305606373813956
VAMP5	2.2920000842035293
NSF	2.281461415611879
HTRA2	2.2414221920437445
MEPE	2.232134487786404
TNFRSF4	2.22361690660634
SNAP29	2.2086552808453757
STX8	2.196517782367283
STXBP3	2.1882170898498883
NOP56	2.1735733075311896
KIAA0319	2.165343224029128
STX7	2.1627146800703834
ITGA2	2.1588386232373726
ARNTL	2.1269286943887766
ITGAV	2.1267880349051334
VAMP8	2.1246266673698098
LAMP1	2.11446354819713
ICOSLG	2.0852607812169124
BNIP3L	2.049162650876083
TSHB	2.02431865254785
SELL	2.023252341726118
IL31	2.0117177863439344
CD3E	2.000160416006919
BTLA	1.9969207264092623
EFTUD2	1.9789964750859221
RGS10	1.9558242718086487
CACYBP	1.9408248366330856
CPLX2	1.9308763689596304
PDCD1LG2	1.9259138341717041
TNFAIP8L2	1.9081405059793823
IGFBP2	1.9038969668859205
HNF1A	1.8920204630964572
EIF5A	1.8822069829227366
CD244	1.866464981435612
STX1B	1.8651319660606416
SLAMF7	1.864239619904574
CD226	1.8543295105278985
SLIRP	1.839326118317163
GNLY	1.8372823913722993
GRSF1	1.827900644556545
PREB	1.8230078760282633
CD274	1.8216432243795122
AGR2	1.8095162172642025
SNU13	1.7866493979108573
GOSR2	1.7859772712523636
